video_id,query,event_label,start_time,end_time,method_name,budget_k,window_coverage,fiw,min_temp_dist,recall_at_1,recall_at_5,recall_at_10
10174992863,Find the event: why did the girls hold each other s hands,why did the girls hold each other s hands,9.9,13.0,proposed_model_selection,48,1.0,0.2708333333333333,0.0,1.0,1.0,1.0
10174992863,Find the event: why did the girls hold each other s hands,why did the girls hold each other s hands,9.9,13.0,proposed_system,48,1.0,0.2708333333333333,0.0,1.0,1.0,1.0
10174992863,Find the event: why did the girls hold each other s hands,why did the girls hold each other s hands,9.9,13.0,uniform,48,1.0,0.22916666666666666,0.0,0.0,0.0,0.0
10174992863,Find the event: why did the girls hold each other s hands,why did the girls hold each other s hands,9.9,13.0,iframe_prior,48,1.0,0.22916666666666666,0.0,0.0,0.0,0.0
10174992863,Find the event: why did the girls hold each other s hands,why did the girls hold each other s hands,9.9,13.0,scene_change,48,1.0,0.22916666666666666,0.0,0.0,0.0,0.0
10174992863,Find the event: why did the girls hold each other s hands,why did the girls hold each other s hands,9.9,13.0,luma_difference,48,1.0,0.2708333333333333,0.0,0.0,1.0,1.0
10174992863,Find the event: why did the girls hold each other s hands,why did the girls hold each other s hands,9.9,13.0,optical_flow_farneback,48,1.0,0.625,0.0,1.0,1.0,1.0
10174992863,Find the event: why did the girls hold each other s hands,why did the girls hold each other s hands,9.9,13.0,clip_kmeans_diversity,48,1.0,0.2916666666666667,0.0,0.0,0.0,0.0
10174992863,Find the event: why did the girls hold each other s hands,why did the girls hold each other s hands,9.9,13.0,clip_query_topk,48,1.0,0.9166666666666666,0.0,1.0,1.0,1.0
10174992863,Find the event: why did the girls hold each other s hands,why did the girls hold each other s hands,9.9,13.0,packet_size_only,48,1.0,0.16666666666666666,0.0,0.0,1.0,1.0
10174992863,Find the event: why did the girls hold each other s hands,why did the girls hold each other s hands,9.9,13.0,semantic_only_ppr,48,1.0,0.2708333333333333,0.0,1.0,1.0,1.0
10174992863,Find the event: why did the girls hold each other s hands,why did the girls hold each other s hands,9.9,13.0,codec_only_ppr,48,1.0,0.2708333333333333,0.0,0.0,0.0,0.0
10174992863,Find the event: why did the girls hold each other s hands,why did the girls hold each other s hands,9.9,13.0,hybrid_ppr,48,1.0,0.2708333333333333,0.0,1.0,1.0,1.0
